velx,vely,velz,accx,accy,accz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.117038,0.381935,-0.093621,0.874776,0.852656,-0.699753
0.280316,0.594000,-0.224231,0.665732,1.410710,-0.532535
0.361448,0.765921,-0.289130,0.659630,1.397780,-0.527653
0.423591,0.897604,-0.338840,0.606945,1.286138,-0.485509
0.474427,1.005327,-0.379505,0.589279,1.248702,-0.471377
0.518643,1.099022,-0.414874,0.564059,1.195260,-0.451203
0.558725,1.183958,-0.446937,0.573069,1.214353,-0.458411
0.595960,1.262860,-0.476722,0.559093,1.184738,-0.447231
0.629398,1.333717,-0.503470,0.519849,1.101579,-0.415839
0.661504,1.401750,-0.529152,0.574237,1.216829,-0.459345
0.691720,1.465778,-0.553322,0.502465,1.064741,-0.401933
0.723477,1.533073,-0.578726,0.686872,1.455507,-0.549445
0.752704,1.595006,-0.602105,0.446329,0.945788,-0.357029
0.775512,1.643337,-0.620350,0.473788,1.003973,-0.378994
0.799010,1.693131,-0.639147,0.502935,1.065737,-0.402309
0.819085,1.735670,-0.655205,0.352408,0.746765,-0.281899
0.831371,1.761705,-0.665033,0.181548,0.384706,-0.145224
0.827276,1.753027,-0.661757,-0.359491,-0.761775,0.287565
0.807001,1.710063,-0.645538,-0.513044,-1.087159,0.410396
0.783267,1.659770,-0.626553,-0.483311,-1.024153,0.386611
0.760231,1.610956,-0.608126,-0.455301,-0.964798,0.364205
0.737873,1.563578,-0.590241,-0.428914,-0.908884,0.343098
0.712680,1.510193,-0.570089,-0.533377,-1.130244,0.426660
0.684871,1.451266,-0.547844,-0.492564,-1.043762,0.394014
0.654254,1.386387,-0.523353,-0.586461,-1.242731,0.469123
0.619207,1.312122,-0.495318,-0.589837,-1.249885,0.471824
0.581160,1.231499,-0.464883,-0.612612,-1.298146,0.490042
0.539773,1.143797,-0.431776,-0.608861,-1.290198,0.487042
0.496015,1.051074,-0.396774,-0.584339,-1.238236,0.467427
0.447103,0.947427,-0.357648,-0.624607,-1.323564,0.499637
0.390155,0.826753,-0.312094,-0.622283,-1.318639,0.497778
0.319293,0.676593,-0.255410,-0.671241,-1.422384,0.536941
0.196703,0.416821,-0.157348,-0.704206,-1.492237,0.563311
0.000000,0.000000,0.000000,-0.693170,-1.468852,0.554483
0.000000,0.000000,0.000000,1.492252,0.000000,0.000000
0.477431,0.003757,0.194562,1.497142,0.011780,0.610115
0.771875,0.006073,0.314554,1.400170,0.011017,0.570597
0.948962,0.007467,0.386720,1.454278,0.011443,0.592647
1.091927,0.008592,0.444982,1.295415,0.010193,0.527907
1.208233,0.009507,0.492379,1.246635,0.009809,0.508028
1.314592,0.010344,0.535722,1.312536,0.010328,0.534884
1.408933,0.011086,0.574168,1.131806,0.008906,0.461233
1.503312,0.011829,0.612629,1.502623,0.011823,0.612348
1.595322,0.012553,0.650125,1.209663,0.009518,0.492961
1.668193,0.013126,0.679821,1.058471,0.008328,0.431348
1.744780,0.013729,0.711032,1.446935,0.011385,0.589655
1.815266,0.014283,0.739757,0.940218,0.007398,0.383157
1.870270,0.014716,0.762172,0.998061,0.007853,0.406729
1.926941,0.015162,0.785266,1.059462,0.008336,0.431751
1.975355,0.015543,0.804996,0.742367,0.005841,0.302529
2.015059,0.015855,0.821176,0.772510,0.006078,0.314813
